node,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64
Ashley,0.025305247,-0.04039793,0.30622756,0.08487253,-0.24012166,-0.17205425,-0.072553605,-0.03828381,-0.19555058,0.04935628,0.31534457,-0.11600773,-0.15885304,-0.1754597,0.023511048,0.1351848,-0.19283664,-0.04060473,-0.072050266,0.29936346,0.031253748,0.35959074,0.34314513,-0.29337764,-0.029095592,0.24438742,-0.054355618,-0.1139846,0.26985043,-0.087064385,0.013874846,-0.13859265,-0.1697006,0.30842698,-0.36548418,-0.12021094,-0.04562485,0.068155356,-0.018151015,0.1696249,0.10697977,-0.07743446,-0.058125447,-0.024911957,0.23866995,-0.5722383,0.19378707,0.16409874,0.10003706,0.022735195,0.16541627,0.11003894,-0.092893526,-0.108348206,0.26814753,-0.017724758,0.29485822,-0.15416454,-0.098379016,0.11679057,0.1504167,0.038414367,0.32187828,-0.022536179
Angel,0.20865053,0.30551723,0.4246847,-0.003236009,-0.14842662,-0.097934544,0.13729742,0.26299763,-0.163976,0.38532737,0.2633909,-0.056167956,-0.06068495,0.20278467,-0.2309201,0.2205861,-0.6734211,-0.019496264,-0.41512555,0.33875254,-0.10491821,0.46268433,0.15770479,-0.15108226,0.0495607,0.02039987,-0.0382397,0.04701076,0.46162876,-0.2990952,0.10940908,0.24176529,-0.166554,0.17686792,-0.13714054,-0.21464032,0.010896792,0.27191454,0.19206268,0.21870947,0.082079045,0.4016678,-0.5230762,0.26276243,0.1385673,0.16390663,0.24707201,-0.014532209,-0.3312782,-0.15632826,0.011624485,-0.16143195,-0.256041,0.09021266,0.43724295,0.10668202,0.22085549,0.11144156,-0.21707624,-0.0943978,-0.37484145,-0.6087419,0.048188765,-0.0786406
Matt,0.4206174,-0.0114799505,0.11781186,0.1302695,-0.1145617,-0.25023052,-0.12975107,-0.021381123,0.13904153,0.2705781,-0.020302404,-0.051079795,-0.08689502,0.22698538,0.054971736,0.6647624,-0.17695232,-0.19813429,-0.3129461,0.5599539,0.25289273,0.12092267,0.12594499,-0.11072887,0.33454633,0.27027965,0.14604229,0.10255605,0.04542569,-0.075172186,-0.03215005,0.31140262,-0.11554272,-0.2907303,-0.3715801,0.013050921,0.06600757,0.26858497,0.18354517,0.040306553,0.00042505132,0.046446525,-0.33615068,0.019789705,0.52171594,0.013512517,-0.16624895,0.09645831,0.046330184,0.5162667,0.056259003,-0.23273435,0.0314044,0.028412992,0.17655993,-0.06020398,0.2042733,0.015267593,-0.121708386,-0.21028958,-0.12746401,-0.12401269,0.017812854,0.022382433
paul,-0.025225407,0.010194164,0.109330714,-0.13054389,-0.18833257,-0.2070632,0.35915098,-0.10109823,-0.141789,-0.14220618,0.3475211,0.144712,-0.16325946,-0.21655136,-0.11269336,0.06623595,-0.052042756,-0.15325834,-0.21630624,0.19180804,-0.24211463,0.3361194,0.30573398,-0.5087314,-0.26358658,-0.040923286,-0.023990752,-0.34479132,-0.08603964,0.022917226,-0.04072867,-0.10688999,0.030838756,0.06688977,-0.40878397,-0.13236937,-0.0018533437,0.046357334,0.15133229,-0.18022472,0.08706718,0.10053977,-0.100361034,-0.2834799,0.24653763,-0.5549958,-0.21143198,-0.23466028,0.06556473,0.3047204,0.1873041,-0.36952543,-0.42584974,0.23321459,0.13493085,-0.23024788,-0.10041968,-0.40864947,-0.021130376,0.1721165,-0.2577987,-0.19957851,0.4981623,0.19028819
Michael,0.29738903,-0.00667618,-0.10776072,0.16378479,0.007022613,-0.2506551,-0.29975882,0.038252756,0.18784744,-0.010575297,0.25704786,0.062014025,-0.17966564,-0.13741183,-0.11714857,0.22544739,0.26955876,-0.17664778,-0.2425842,0.733168,0.33831018,0.032199144,0.20200735,-0.025332121,0.34025675,0.28022966,-0.05233549,0.09279111,0.09437424,-0.3442726,-0.09913665,0.17994991,-0.38232926,0.33084393,-0.24393143,0.20514977,0.067955665,0.043084774,0.28649852,0.37640768,-0.09896306,0.09708348,-0.17823075,0.14899722,0.13615426,-0.022071661,0.17245252,-0.07571564,-0.008318526,0.19872868,0.13561653,-0.10693774,0.070735306,-0.19548143,-0.08144189,-0.20233922,0.03476705,0.0068981657,-0.13558643,0.045173153,-0.14210126,-0.14271112,0.24794869,0.23264934
Billy,0.21379408,-0.062160563,0.17785583,-0.15615162,-0.2126395,-0.11985805,0.2566283,-0.086582445,-0.37758064,-0.024826093,0.42360267,-0.23020333,0.044131216,-0.11753383,0.036688652,-0.0024195858,-0.26870772,-0.2011997,-0.057631917,0.15465,0.11156076,0.15672222,0.1170054,-0.22496179,-0.22590666,0.21456374,-0.23449583,-0.08286282,0.18533652,-0.38468486,0.0155795,-0.02973921,0.039802484,-0.08303329,0.027366305,-0.020450536,-0.059174675,-0.20043044,0.16275966,0.2558832,-0.012422698,0.16259594,0.06706836,0.0802012,0.20441711,-0.34244326,0.09692338,0.099451676,0.39055276,0.12692872,0.23642847,0.18754648,0.046829302,0.18966974,-0.048976026,0.0347109,-0.10329413,0.15864612,-0.2798194,0.098113865,-0.17606416,-0.20740213,0.44329196,0.18338306
Zach,-0.00096265256,0.1716251,0.26012424,0.18731532,-0.17782488,-0.2187187,0.035051223,-0.038111307,-0.60664296,0.13470812,0.4001253,-0.28014606,-0.17257613,-0.23951586,0.23331858,0.26692024,0.16813403,-0.11879929,-0.15957381,0.2912512,0.2830931,0.21024744,0.19310808,-0.14196767,-0.008938622,0.22008543,-0.3953724,-0.020320904,0.09262166,-0.081206925,-0.28551584,-0.07218997,-0.15057221,0.39181915,-0.19861656,0.01938449,-0.06491906,0.12150061,0.124549314,0.25695866,0.08994754,-0.049918815,0.017883912,0.15615287,0.26601797,-0.08055492,0.08237235,0.24865468,-0.13662587,-0.16735733,0.319409,0.22489408,-0.013064571,-0.02602784,0.34700522,0.19342867,-0.14475504,0.075699866,-0.28789765,0.20261551,0.1372946,-0.04954785,0.1840459,0.15831582
Jeremy,0.2768063,-0.22278978,0.3058671,0.33603528,0.17846616,-0.2477035,0.24224609,-0.2194495,0.15728997,-0.1455295,0.22013924,-0.0020165106,0.16915396,0.373836,0.014662321,-0.063269064,-0.08076605,-0.22729374,-0.06364979,0.3233862,0.046098776,0.32044193,0.082086824,-0.38738945,-0.27228844,0.43156287,-0.36839655,0.21931948,0.12259948,-0.13376988,0.20584874,0.1205151,-0.19920363,-0.2218696,0.16665474,-0.16208269,0.27823448,0.25207528,-0.02798316,0.30668133,0.13195878,-0.13503124,0.061514743,-0.17105299,-0.029418996,0.028200183,-0.20301372,-0.06739518,-0.33086777,0.17500617,0.018149246,-0.31064507,0.15136829,-0.09093467,-0.2700804,-0.12816231,0.17701511,0.11620822,-0.4264423,0.5337983,0.014285048,-0.31961802,0.15483512,0.17123204
Maria,0.065610535,0.03969407,0.2701064,0.10890257,-0.09520565,0.08504598,0.056189667,-0.10325565,-0.14983392,-0.0666585,0.30837318,-0.071697704,-0.51245004,-0.17542002,-0.12467662,0.3508295,-0.08647901,0.22874142,0.029034918,0.43638137,0.102181144,0.1632258,0.3357154,-0.50961864,0.038041197,0.15526064,0.094233684,0.013815769,0.051956005,-0.12732549,-0.09432801,0.113547534,-0.3959128,0.22569616,-0.25628427,0.0021294917,-0.010589613,-0.14052959,0.33720592,0.42243755,0.103975564,0.12796146,-0.089591354,0.38451627,0.25275955,0.07682544,0.21091428,-0.27796912,0.18986592,0.14790557,0.055292692,-0.073493004,-0.14993033,0.07917599,0.32823437,0.12350966,0.14326207,0.021991871,0.21573485,0.20201583,0.32699135,-0.22681472,0.107592866,-0.16431193
Kevin,0.10137731,-0.24190931,0.11466755,0.16689901,0.30531952,-0.4497002,0.13393816,-0.2153407,-0.055198792,-0.20548145,0.18636286,0.012356754,-0.0540912,0.35963848,-0.12450343,0.059200164,-0.37669623,-0.03598531,-0.1022914,0.25800902,0.062828876,0.52035505,0.22547226,-0.29559532,-0.13489306,0.11825921,-0.2865611,0.2004555,-0.15228102,-0.13079384,0.1964067,0.017619064,-0.41782743,0.0732143,-0.15109889,-0.0664283,0.13209797,-0.29279876,0.16428018,0.102826215,0.116473675,0.0078049656,0.09635906,-0.27911767,0.21579358,-0.19183277,-0.087575704,-0.23858634,-0.23881762,-0.0035668921,-0.17954546,-0.19128324,-0.106636755,-0.047882512,-0.17016847,-0.20591104,0.10090568,0.10692911,-0.31278187,-0.09313818,-0.054154288,-0.04365673,0.19170187,-0.013284727
